typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 12_QUANTITE RECUE;SLlizDxCCBg;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/12 cp;pdYlnimEqvM;;;Quantité reçue au cours de période;As3KnTNXAvJ;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 12_QUANTITE CONSOMMEE;rrnVnJHaltx;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/12 cp;pdYlnimEqvM;;;Quantité distribuée aux patients au cours de la période;qU0JMPFsRK8;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 12_QUANTITE PERIMEE;GO4puCRL8k9;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/12 cp;pdYlnimEqvM;;;Quantité périmée au cours de la période;HBLhNbV0YQn;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 12_QUANTITE AUTRES PERTES;FksSRP2EYkQ;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/12 cp;pdYlnimEqvM;;;Autres pertes au cours de la période;bSywspBoT6C;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 12_NOMBRE DE JOURS DE RUPTURE DE STOCK;BbjAyRbYcu5;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/12 cp;pdYlnimEqvM;;;Nombre de jours de rupture au cours de la période dans la FS;vvdkH8iPV6d;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 18_QUANTITE RECUE;wj4I6kI5sxC;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/18 cp;dYgh3a4iVKK;;;Quantité reçue au cours de période;As3KnTNXAvJ;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 18_QUANTITE CONSOMMEE;WTszwocQBYi;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/18 cp;dYgh3a4iVKK;;;Quantité distribuée aux patients au cours de la période;qU0JMPFsRK8;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 18_QUANTITE PERIMEE;iUp3IEy1Xra;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/18 cp;dYgh3a4iVKK;;;Quantité périmée au cours de la période;HBLhNbV0YQn;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 18_QUANTITE AUTRES PERTES;ARUS4d7H6Ku;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/18 cp;dYgh3a4iVKK;;;Autres pertes au cours de la période;bSywspBoT6C;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 18_NOMBRE DE JOURS DE RUPTURE DE STOCK;lzB5I7OzAc4;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/18 cp;dYgh3a4iVKK;;;Nombre de jours de rupture au cours de la période dans la FS;vvdkH8iPV6d;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 24_QUANTITE RECUE;v2bZfuz8fW6;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/24cp;Z09Dbu4AOBa;;;Quantité reçue au cours de période;As3KnTNXAvJ;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 24_QUANTITE CONSOMMEE;Xx3ZrW6Jbqb;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/24cp;Z09Dbu4AOBa;;;Quantité distribuée aux patients au cours de la période;qU0JMPFsRK8;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 24_QUANTITE PERIMEE;m43RQlXYiBM;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/24cp;Z09Dbu4AOBa;;;Quantité périmée au cours de la période;HBLhNbV0YQn;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 24_QUANTITE AUTRES PERTES;G6M5HTZULNG;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/24cp;Z09Dbu4AOBa;;;Autres pertes au cours de la période;bSywspBoT6C;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 24_NOMBRE DE JOURS DE RUPTURE DE STOCK;PvRj2QIYN8B;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/24cp;Z09Dbu4AOBa;;;Nombre de jours de rupture au cours de la période dans la FS;vvdkH8iPV6d;;;;;;;;
TRIMESTRIELLE;PALU - Artemether + Lumefantrine (20mg+120mg) blister de 6_QUANTITE RECUE;Zndbo2GBuZq;;;;;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Artemether + Lumefantrine 20mg/120mg pl/6 cp;u0ZVMc0aolt;;;Quantité reçue au cours de période;As3KnTNXAvJ;;;;;;;;
