typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
MENSUELLE;;;MEG - Acide acétique glacial;tWpYHYONzxt;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Acide acétique solution;QEUk6wRynd7;;;;;;;;;;;;
MENSUELLE;;;MEG - Albendazole 400mg comp à croquer blister;L8wvYcNEGo8;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Albendazole 400mg;OT8bQ8i6A3W;;;;;;;;;;;;
MENSUELLE;;;MEG - Allopurinol 100mg cp. blister;Y7HkcQ7tVi7;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Allopurinol 100mg cp;FQjv6VbRskc;;;;;;;;;;;;
MENSUELLE;;;MEG - Amlodipine 5mg comp blister;fwf6R3oDLmK;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Amlodipine 5mg cp;rFXRVJL61iL;;;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline 125mg/5ml susp buv Fl/60ml, unitarisé;N6FpGoH9SH5;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Amoxicilline 125mg;wyVq2Uibjmi;;;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline + acide clavulanique (500+62,5)mg comp blister;afafXmDrGcw;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Amoxicilline + acide clavulanique 500 mg cp;KBN6HAOTxuI;;;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline 250mg/5ml 60ml sirop;UMe7ytl4Q7K;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Amoxicilline 250 mg Suspension Buvable;kurBbH1kP5Z;;;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline 500mg gélule blister;bYzfj33D4El;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Amoxicilline 500 mg gelule;O2ddzztiEAw;;;;;;;;;;;;
MENSUELLE;;;MEG - Ampicilline 0,5g poudre inject, Flacon;eIiF1bSBJ3I;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Ampicilline 0.5 g poudre inj;JGMUGoCnHNm;;;;;;;;;;;;
MENSUELLE;;;MEG - Ampicilline 1g poudre inject, Flacon;SiAdt9hIiqD;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Ampicilline 1 g poudre inj;dyvC3yC076Y;;;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther 80mg/ml inject, amp/1ml;OpYMo8XrCvg;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Artemether 80 mg inj;yCrhQOfLazz;;;;;;;;;;;;
MENSUELLE;;;PALU - Artesunate 100mg suppositoire;m5TjtHs8YzJ;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Artesunate suppositoire 100 mg;mmq7ryGnBMt;;;;;;;;;;;;
MENSUELLE;;;PALU - Artesunate 60mg inj subventionné;Px6NlDWigFZ;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Artesunate suppositoire 50 mg;H4XSfQuyqZV;;;;;;;;;;;;
MENSUELLE;;;MEG - Atenolol 50mg comp blister;uSA3fdzWVhi;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Aténolol 50mg cp;Je2Bfqm5IWe;;;;;;;;;;;;
MENSUELLE;;;MEG - Benzathine Benzylpénicilline 2,4MUI poudre inject, Flacon;TCxhPREQvyf;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Benzathine Benzyl Penicilline 2,4 Millions UI Injectable;s44rd7nEkrt;;;;;;;;;;;;
MENSUELLE;;;MEG - Chlorphéniramine maléate 4mg comp blister;dode9HASFz5;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Chlorphéniramine 4mg cp;Wzeh9iQ9Y66;;;;;;;;;;;;
MENSUELLE;;;MEG - Ciprofloxacine 500mg comp blister;KNiOpOjO3Qb;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Ciprofloxacine 500 mg cp;YCZjkSTYF2u;;;;;;;;;;;;
MENSUELLE;;;SR - Collier de Cycle;TFkQy3NxYSJ;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Collier de cycle;muRPkkj8Mtj;;;;;;;;;;;;
MENSUELLE;;;SR - Préservatif féminin lubrifié, unité;hbdFLhEgXhU;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Condom feminin;jd9y5Doy8RR;;;;;;;;;;;;
MENSUELLE;;;SR - Préservatif masculin lubrifié, unité;hNve3CjRBqc;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Condom masculin;RdCpVHxC7GB;;;;;;;;;;;;
MENSUELLE;;;MEG - Cotrimoxazole 240mg/5ml susp buv Fl/60ml, unitarisé;GK2fRur6PnX;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Cotrimoxazole 240 mg /5ml suspension buvable;PQu42XuJ2W1;;;;;;;;;;;;
MENSUELLE;;;MEG - Cotrimoxazole 480mg comp blister;OjtgQwinTSI;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Cotrimoxazole 480 mg cp;JAgz6xGJYH9;;;;;;;;;;;;
MENSUELLE;;;SR - Dispositif Intra Utérin Tcu 380 A;qBU2PfcoqlI;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-DIU;Fpd8WUPdvqW;;;;;;;;;;;;
MENSUELLE;;;SR - Médroxyprogesterone (Dépo-provera) 150mg/ml inj.;MCT1JsImhEm;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-DMPA-IM (Depo provera);QTinzhqoesL;;;;;;;;;;;;
