typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
MENSUELLE;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE AU DEBUT;zOIWjNiyZiV;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;;;Produits TB & VIH;t014WNt683s;Quantité disponible et utilisable en début de période;JumQxAmfKZn;;;;;;;;
MENSUELLE;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE RECUE;zXdjYgji4gq;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;;;Produits TB & VIH;t014WNt683s;Quantité reçue au cours de période;EzS3Dx3y8hP;;;;;;;;
MENSUELLE;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE CONSOMMEE;DNnMkkBbHS7;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;;;Produits TB & VIH;t014WNt683s;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;;;;;;
MENSUELLE;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE PERIMEE;uM58j6EIdJl;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;;;Produits TB & VIH;t014WNt683s;Quantité périmée au cours de la période;STOzMpWFByG;;;;;;;;
MENSUELLE;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE AUTRES PERTES;GCO3yIRydt8;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;;;Produits TB & VIH;t014WNt683s;Autres pertes au cours de la période;TjJKEtBQHXQ;;;;;;;;
MENSUELLE;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE EN FIN;UQvRh6COF1P;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;;;Produits TB & VIH;t014WNt683s;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
MENSUELLE;;;;;DCAPS_VARIABLES;D9URQhBFIKO;NOMBRE DE JOURS DE RUPTURE DE STOCK;ZFbVBq6YOKO;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;;;Produits TB & VIH;t014WNt683s;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;;;;;;
MENSUELLE;;;MEG - Acide acétique glacial;tWpYHYONzxt;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant- Acide acetique solution;LHSCNSrcjQ0;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Albendazole 400mg comp à croquer blister;L8wvYcNEGo8;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Albendazole 400 mg;Mfz2jt5eoht;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Allopurinol 100mg cp. blister;Y7HkcQ7tVi7;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant- Allopurinol 100mg cp;VBpuqDvbSaQ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Amlodipine 5mg comp blister;fwf6R3oDLmK;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant- Amlodipine 5mg cp;XrPPeKLZHlr;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline 125mg/5ml susp buv Fl/60ml, unitarisé;N6FpGoH9SH5;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Amoxicilline 125mg;YjDrQ1npPHn;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline + acide clavulanique (500+62,5)mg comp blister;afafXmDrGcw;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Amoxicilline + acide clavulaniq 500mg cp;EEX3xTGDU5h;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline 250mg/5ml 60ml sirop;UMe7ytl4Q7K;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Amoxicilline 250 mg Suspension Buvable;uEhOtsInhVj;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline 500mg gélule blister;bYzfj33D4El;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Amoxicilline 500 mg gelule;AkfjyiSHipx;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Ampicilline 0,5g poudre inject, Flacon;eIiF1bSBJ3I;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Ampicilline 0.5 g poudre inj;tpeBAKEfRov;Produits TB & VIH;t014WNt683s;;;;;;;;;;
