typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE AU DEBUT;zOIWjNiyZiV;;;;;;;;;;;Gestion des intrants;VjqT31btO7y;Quantité disponible et utilisable en début de période;Ngfpz76U5DP;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE RECUE;zXdjYgji4gq;;;;;;;;;;;Gestion des intrants;VjqT31btO7y;Quantité reçue au cours de période;As3KnTNXAvJ;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE CONSOMMEE;DNnMkkBbHS7;;;;;;;;;;;Gestion des intrants;VjqT31btO7y;Quantité distribuée aux patients au cours de la période;qU0JMPFsRK8;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE PERIMEE;uM58j6EIdJl;;;;;;;;;;;Gestion des intrants;VjqT31btO7y;Quantité périmée au cours de la période;HBLhNbV0YQn;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE AUTRES PERTES;GCO3yIRydt8;;;;;;;;;;;Gestion des intrants;VjqT31btO7y;Autres pertes au cours de la période;bSywspBoT6C;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE EN FIN;UQvRh6COF1P;;;;;;;;;;;Gestion des intrants;VjqT31btO7y;Stock disponible et utilisable en fin de période dans la FS;oqc8yihlUg2;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;NOMBRE DE JOURS DE RUPTURE DE STOCK;ZFbVBq6YOKO;;;;;;;;;;;Gestion des intrants;VjqT31btO7y;Nombre de jours de rupture au cours de la période dans la FS;vvdkH8iPV6d;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE AU DEBUT;zOIWjNiyZiV;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité disponible et utilisable en début de période;JumQxAmfKZn;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE RECUE;zXdjYgji4gq;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité reçue au cours de période;EzS3Dx3y8hP;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE CONSOMMEE;DNnMkkBbHS7;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE PERIMEE;uM58j6EIdJl;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité périmée au cours de la période;STOzMpWFByG;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE AUTRES PERTES;GCO3yIRydt8;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Autres pertes au cours de la période;TjJKEtBQHXQ;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE EN FIN;UQvRh6COF1P;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;NOMBRE DE JOURS DE RUPTURE DE STOCK;ZFbVBq6YOKO;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/12;RX6JpvLymuI;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Artemether + Lumefantrine 20mg/120mg pl/12 cp;V1Q52sN3GvO;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/12;RX6JpvLymuI;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Artemether + Lumefantrine 20mg/120mg pl/12 cp;vu324xhADBd;default;LF6YW8GVeF9;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/18;w7Ob4uLMbnc;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Artemether + Lumefantrine 20mg/120mg pl/18 cp;cGDeVDpbpVJ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/18;w7Ob4uLMbnc;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Artemether + Lumefantrine 20mg/120mg pl/18 cp;XVQz5JrCr9C;default;LF6YW8GVeF9;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/24;xGFFjZ1AL7C;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Artemether + Lumefantrine 20mg/120mg pl/24cp;mFigYxR1qkl;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/24;xGFFjZ1AL7C;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Artemether + Lumefantrine 20mg/120mg pl/24cp;D1yFfAO1mZG;default;LF6YW8GVeF9;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/6;KYIFTwG6ohS;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Artemether + Lumefantrine 20mg/120mg pl/6 cp;iHLMNdzqF0U;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;PALU - Artéméther + Luméfantrine (20+120)mg comp blister/6;KYIFTwG6ohS;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Artemether + Lumefantrine 20mg/120mg pl/6 cp;NezHJ3bbR2B;default;LF6YW8GVeF9;;;;;;;;;;
